data_publicacao,tipo,titulo,preco_atual,preco_anterior,desconto_pct,link,imagem,post_id
2026-09-23,feed,Percarbonato 100% Puro Tira Manchas Roupas Brancas e Coloridas,17.90,59.67,70,https://s.shopee.com.br/905RU0QDdj,https://raw.githubusercontent.com/charlysthonadm-cpu/achadinhosdoterra/main/imagens_geradas/percarbonato-100-puro-tira-manchas-roupas-brancas-e-colorida-1790214750.jpg,18029791682885328
2026-09-24,feed,Utensílios Silicone Cozinha Antiaderente Fácil Limpeza Alta Resistência,18.61,88.62,79,https://s.shopee.com.br/1AclV6brx,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/utens-lios-silicone-cozinha-antiaderente-f-cil-limpeza-alta--1790291200-0.jpg,18037004513840276
2026-09-24,feed,Kits de Meias Soquete Unissex Premium Masculina e Feminina,10.99,10.99,0,https://s.shopee.com.br/9V1i4wbJgL,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/kits-de-meias-soquete-unissex-premium-masculina-e-feminina-1790291314-0.jpg,18337970410285274
2026-09-24,story,Utensílios Silicone Cozinha Antiaderente Fácil Limpeza Alta Resistência,18.61,88.62,79,https://s.shopee.com.br/1AclV6brx,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/utens-lios-silicone-cozinha-antiaderente-f-cil-limpeza-alta--1790291403.jpg,18419446312157921
2026-09-24,story,Utensílios Silicone Cozinha Antiaderente Fácil Limpeza Alta Resistência,18.61,88.62,79,https://s.shopee.com.br/1AclV6brx,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/utens-lios-silicone-cozinha-antiaderente-f-cil-limpeza-alta--1790291484.jpg,18460683166190173
2026-09-24,feed,Carregador Portátil Mini Power Bank 10000mAh Com 02 Saídas Tipo-C / Lightning,31.99,31.99,0,https://s.shopee.com.br/6VO80pWOJJ,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/carregador-port-til-mini-power-bank-10000mah-com-02-sa-das-t-1790293031-0.jpg,18128072605789349
2026-09-24,feed,"Caixa de Som Bluetooth Portátil Com Led RGB FM USB TWS 30W Para Praia, Festa ou Viagem",99.99,99.99,0,https://s.shopee.com.br/1AeGsv8VX,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/caixa-de-som-bluetooth-port-til-com-led-rgb-fm-usb-tws-30w-p-1790293104-0.jpg,17901681684596544
2026-09-24,feed,Fone de Ouvido Sem Fio Com Cancelamento de Ruído Bluetooth Pop-Up,59.99,59.99,0,https://s.shopee.com.br/1gIsFwon6e,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/fone-de-ouvido-sem-fio-com-cancelamento-de-ru-do-bluetooth-p-1790293172-0.jpg,18010352138766526
2026-09-24,feed,"Massageador de Pescoço e Ombros Portátil 3D Com Calor, Relaxante",113.99,113.99,0,https://s.shopee.com.br/gQL46sb9j,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/massageador-de-pesco-o-e-ombros-port-til-3d-com-calor-relaxa-1790293250-0.jpg,18626509402000747
2026-09-24,feed,Relógio Smartwatch T800 Ultra 2 Max Esportivo Sem Fio à Prova D'água,45.88,45.88,0,https://s.shopee.com.br/2gBPRmkz5n,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/rel-gio-smartwatch-t800-ultra-2-max-esportivo-sem-fio-prova--1790293321-0.jpg,18347519185271605
2026-09-24,feed,Guarda-Chuva Automático Alta Resistência a Chuva e Vento Forte Com Proteção UV,26.99,26.99,0,https://s.shopee.com.br/qjlGPrxok,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/guarda-chuva-autom-tico-alta-resist-ncia-a-chuva-e-vento-for-1790293398-0.jpg,17985293114882628
2026-09-24,story,Kits de Meias Soquete Unissex Premium Masculina e Feminina,10.99,10.99,0,https://s.shopee.com.br/9V1i4wbJgL,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/kits-de-meias-soquete-unissex-premium-masculina-e-feminina-1790293764.jpg,18175375117448427
2026-09-25,story,Carregador Portátil Mini Power Bank 10000mAh Com 02 Saídas Tipo-C / Lightning,31.99,31.99,0,https://s.shopee.com.br/6VO80pWOJJ,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/carregador-port-til-mini-power-bank-10000mah-com-02-sa-das-t-1790295150.jpg,18070633940505469
2026-09-25,feed,Protetor De Sapato Impermeável De Silicone Capa de Chuva Para Tênis,11.90,11.90,0,https://s.shopee.com.br/9peZyxJhXV,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/protetor-de-sapato-imperme-vel-de-silicone-capa-de-chuva-par-1790295914-0.jpg,18338119996275234
2026-09-25,story,Protetor De Sapato Impermeável De Silicone Capa de Chuva Para Tênis,11.90,11.90,0,https://s.shopee.com.br/9peZyxJhXV,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/protetor-de-sapato-imperme-vel-de-silicone-capa-de-chuva-par-1790302085.jpg,18219495379340904
2026-09-25,feed,Caixinha De Som Bluetooth Potente Pendrive FM SD Portátil IPX6,61.90,61.90,0,https://s.shopee.com.br/6q0yPRV7dD,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/caixinha-de-som-bluetooth-potente-pendrive-fm-sd-port-til-ip-1790338118-0.jpg,18098313071641386
2026-09-25,story,Caixinha De Som Bluetooth Potente Pendrive FM SD Portátil IPX6,61.90,61.90,0,https://s.shopee.com.br/6q0yPRV7dD,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/caixinha-de-som-bluetooth-potente-pendrive-fm-sd-port-til-ip-1790338248.jpg,18625908916001686
2026-09-25,story,"Caixa de Som Bluetooth Portátil Com Led RGB FM USB TWS 30W Para Praia, Festa ou Viagem",99.99,99.99,0,https://s.shopee.com.br/1AeGsv8VX,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/caixa-de-som-bluetooth-port-til-com-led-rgb-fm-usb-tws-30w-p-1790345375.jpg,18118673956788200
2026-09-25,feed,Kit Umidificador Atomizador De Ar Doméstico Portátil + 3 Essências,27.97,27.97,0,https://s.shopee.com.br/80CvnaQgHL,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/kit-umidificador-atomizador-de-ar-dom-stico-port-til-3-ess-n-1790352443-0.jpg,17973513897134806
2026-09-25,story,Kit Umidificador Atomizador De Ar Doméstico Portátil + 3 Essências,27.97,27.97,0,https://s.shopee.com.br/80CvnaQgHL,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/kit-umidificador-atomizador-de-ar-dom-stico-port-til-3-ess-n-1790352554.jpg,18345231325270377
2026-09-25,story,Fone de Ouvido Sem Fio Com Cancelamento de Ruído Bluetooth Pop-Up,59.99,59.99,0,https://s.shopee.com.br/1gIsFwon6e,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/fone-de-ouvido-sem-fio-com-cancelamento-de-ru-do-bluetooth-p-1790359768.jpg,18628884637042572
2026-09-25,feed,Escova Onda Finalizadora Beauty Flash Definição de Cachos Cabelo Cacheado,9.90,9.90,0,https://s.shopee.com.br/3qNMpvgXj2,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/escova-onda-finalizadora-beauty-flash-defini-o-de-cachos-cab-1790366781-0.jpg,18143295631594441
2026-09-25,story,Escova Onda Finalizadora Beauty Flash Definição de Cachos Cabelo Cacheado,9.90,9.90,0,https://s.shopee.com.br/3qNMpvgXj2,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/escova-onda-finalizadora-beauty-flash-defini-o-de-cachos-cab-1790366878.jpg,18129369058776664
2026-09-25,story,"Massageador de Pescoço e Ombros Portátil 3D Com Calor, Relaxante",113.99,113.99,0,https://s.shopee.com.br/gQL46sb9j,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/massageador-de-pesco-o-e-ombros-port-til-3d-com-calor-relaxa-1790374106.jpg,18072486197774495
2026-09-25,feed,Bota Coturno Masculino Adventure De Qualidade e Barato,49.80,49.80,0,https://s.shopee.com.br/AKaqZsHnWe,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/bota-coturno-masculino-adventure-de-qualidade-e-barato-1790377575-0.jpg,18121051705911406
2026-09-26,story,Bota Coturno Masculino Adventure De Qualidade e Barato,49.80,49.80,0,https://s.shopee.com.br/AKaqZsHnWe,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/bota-coturno-masculino-adventure-de-qualidade-e-barato-1790381456.jpg,18021152219867776
2026-09-26,story,Relógio Smartwatch T800 Ultra 2 Max Esportivo Sem Fio à Prova D'água,45.88,45.88,0,https://s.shopee.com.br/2gBPRmkz5n,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/rel-gio-smartwatch-t800-ultra-2-max-esportivo-sem-fio-prova--1790388490.jpg,18177224491444846
2026-09-26,feed,Brinquedo Inteligente Recarregável para Gatos com Bola Automática,10.50,10.50,0,https://s.shopee.com.br/2gBPRmkz4k,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/imagens_geradas/brinquedo-inteligente-recarreg-vel-para-gatos-com-bola-autom-1790424484-0.jpg,18127491565876071
2026-09-26,story,Brinquedo Inteligente Recarregável para Gatos com Bola Automática,10.50,10.50,0,https://s.shopee.com.br/2gBPRmkz4k,https://raw.githubusercontent.com/achadinhosdoterra/achadinhosdoterra.github.io/main/stories_geradas/brinquedo-inteligente-recarreg-vel-para-gatos-com-bola-autom-1790424597.jpg,18077238284396064
